case_id,root_cause,osi_layer,confidence,evidence,next_command,fix_steps
C013,The configured DNS server (172.16.1.99) does not respond to ping/queries -- it is either the wrong address or the DNS service is down; name resolution fails while IP connectivity works fine (classic Layer 7 symptom on top of working Layer 3).,Layer 7,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C014,"The internal DNS server has no forwarder configured for external queries, so it can resolve internal records but returns NXDOMAIN for anything outside its own zone.",Layer 7,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C015,The DNS A record for intranet.company.local still points to the old server IP (10.1.1.50) instead of the migrated server (10.1.1.80); the record was never updated after the migration.,Layer 7,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C016,"DNS server 10.10.1.11 is down or unreachable, causing resolution failures for PC-B.",Layer 7,medium,"nslookup against 10.10.1.11 failed to resolve erp.company.local, interpreted as the server being down.",ping 10.10.1.11,"[""Restart DNS service on 10.10.1.11"", ""Re-test nslookup from PC-B""]"
C017,R1 has no route (static or dynamic) to the remote LAN C subnet 192.168.3.0/24; only directly connected networks appear in the routing table.,Layer 3,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C018,HQ router R1 is missing a route to the branch subnet 192.168.99.0/24.,Layer 3,medium,show ip route does not show a working path to 192.168.99.0/24.,show ip route 192.168.99.0,"[""Add a static route to 192.168.99.0/24"", ""Verify with show ip route""]"
C019,"R2 is advertising the shared link in OSPF area 1 while R1 advertises area 0 for the same network, an area mismatch that prevents the OSPF neighbor adjacency from forming, so no routes are exchanged.",Layer 3,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C020,"The PC's subnet mask (/25, 255.255.255.128) does not match the router interface's /24 mask, so the PC calculates a different subnet boundary than the router expects, breaking routing decisions for traffic beyond the local segment.",Layer 3,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C021,ACL entry 10 explicitly denies all traffic to the payroll server (192.168.50.10) before the permit-any statement is ever reached; the deny is matching and blocking legitimate Finance traffic.,Layer 3/4,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C022,"Line 30, the new permit for 192.168.9.0/24, was appended after the 'deny ip any any' at line 20, which matches first and drops the traffic before the new permit is ever evaluated -- ACL entries are processed top-down and the implicit/explicit deny at line 20 short-circuits everything below it.",Layer 3/4,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C023,WAN-ACL is missing a permit statement for return traffic from the internal server.,Layer 3/4,medium,"Only one permit line (inbound port 80) exists in WAN-ACL, so return traffic appears unpermitted.",show access-lists WAN-ACL,"[""Add a permit statement for the server's return traffic"", ""Verify with show access-lists""]"
C024,"The ACL only explicitly permits ICMP; there is no permit statement for the application's TCP ports, so all non-ICMP traffic falls through to the deny-any and is blocked, while ping (ICMP) succeeds.",Layer 3/4,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C025,"Neither interface has been marked with 'ip nat inside' or 'ip nat outside', so NAT is not actually applied anywhere even if a NAT/PAT rule exists in the config -- private addresses are being sent unmodified to the internet and dropped upstream.",Layer 3,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C026,"The NAT pool contains only a single public address (203.0.113.5) and is not configured with the 'overload' keyword, so only one internal host can hold a translation at a time instead of allowing many-to-one port address translation.",Layer 3/4,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C027,"The 'ip nat inside'/'ip nat outside' designations are reversed relative to the physical topology after the re-cabling -- the internal LAN interface is marked outside and the ISP-facing interface is marked inside, so NAT translation never triggers correctly.",Layer 3,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C028,The passphrase configured on the AP ('CorpNetw0rk!') does not match the passphrase distributed to end users ('CorpNetwork!') -- a simple credential mismatch causing repeated authentication failures.,Layer 2,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C029,Guest Wi-Fi clients are experiencing a minor connectivity misconfiguration on VLAN mapping.,Layer 2,low,wlan GUEST shows vlan 10 configured; treated as a generic config inconsistency.,show wlan config GUEST,"[""Double check VLAN mapping for SSID GUEST"", ""Re-test guest connectivity""]"
C030,"AP1 and AP2 use the same 2.4GHz channel (6) in overlapping coverage areas, causing co-channel interference that degrades signal quality and connection stability at the cell edge -- an RF design issue rather than an authentication or VLAN fault.",Layer 1/2,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C031,"Core switch SW3 has default STP priority 32768, causing edge switch SW1 with a lower MAC address to win the Root election; suboptimal root placement causes excessive frame flooding across access uplinks.",Layer 2,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C032,BPDU Guard put Fa0/10 into err-disabled state after detecting rogue BPDUs from an unmanaged switch/hub plugged into a PortFast-enabled access port.,Layer 2,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C033,"SW1 PortFast is globally disabled, causing temporary link blocking on trunk ports.",Layer 2,medium,Spanning-tree portfast trunk was misread as missing global portfast configuration.,show spanning-tree summary,"[""Enable spanning-tree portfast default globally"", ""Re-test link initialization""]"
C034,"Speed mismatch on member interface Fa0/23 (SW1 is 100Mbps, SW2 is 10Mbps) prevents LACP bundling, causing member ports to be suspended.",Layer 2,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C035,"EtherChannel load-balancing hash is set to src-mac on a switch where all egress traffic originates from the same default gateway MAC, preventing traffic distribution across bundle links.",Layer 2,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C036,"HSRP preempt is not enabled on R2. Even though R1's tracked WAN interface failed and reduced its priority to 90 (below R2's 100), R2 will not take over active status without preempt enabled.",Layer 3,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C037,R1 and R2 have mismatched HSRP priority values causing active router contention.,Layer 3,medium,Both routers show active state; AI assumed default priority values were in conflict.,show standby brief,"[""Adjust standby priority on R2"", ""Verify single active router""]"
C038,"Global 'ipv6 unicast-routing' is missing on router R1; without it, R1 acts only as an IPv6 end-host and will not forward IPv6 packets between interfaces or send Router Advertisements.",Layer 3,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C039,"Router Advertisements are explicitly suppressed on G0/0.50 with 'ipv6 nd suppress-ra', preventing SLAAC clients from learning the network prefix and default gateway.",Layer 3,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C040,"Port security violation occurred on Fa0/12: incoming MAC address (00aa.bbcc.ddee) did not match the configured sticky MAC (0011.2233.4455), triggering the shutdown action.",Layer 2,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C041,"VTY lines on R1 are configured with 'transport input telnet' instead of 'transport input ssh' (or 'all'), blocking encrypted SSH connection attempts on TCP port 22.",Layer 7,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C042,"AAA authentication is configured to use TACACS+ only without a 'local' fallback; when the TACACS+ server 10.40.1.5 is unreachable, admins are locked out.",Layer 7,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C043,No QoS policy-map (LLQ / CBWFQ) is applied on WAN interface G0/1; default FIFO queuing drops latency-sensitive VoIP packets under link saturation.,Layer 3/4,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C044,"Access switch port Fa0/5 does not trust CoS/DSCP markings from the connected IP phone ('no mls qos trust'), overwriting incoming voice packets to DSCP 0 (Best Effort).",Layer 2/3,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C045,"Subinterface G0/0.60 has encapsulation mismatched to dot1Q 65 instead of dot1Q 60, causing tagged frames from VLAN 60 to be ignored by the subinterface.",Layer 2/3,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C046,Dest Subnet 172.20.0.0/16 is unroutable due to missing default gateway on R1.,Layer 3,low,High CPU and packet drop misdiagnosed as missing gateway rather than mutual static routes.,show ip route 0.0.0.0,"[""Add default gateway to R1"", ""Verify CPU utilization drops""]"
C047,"Static NAT rule maps public port 80 to internal port 808 instead of port 80 on the web server, causing external HTTP requests to hit a closed port.",Layer 3/4,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C048,"Standard ACL 50 protecting the switch HTTP server permits 10.40.2.0/24 but omits admin subnet 10.40.1.0/24, denying web access while pinging (ICMP) remains unaffected.",Layer 7,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C049,"eBGP peer 198.51.100.1 is multiple hops away, but 'neighbor 198.51.100.1 ebgp-multihop' is not configured; default TTL of 1 drops eBGP packets before reaching the peer.",Layer 3/4,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C050,Data VLAN and Voice VLAN on Fa0/9 are both set to VLAN 10. Voice and data must be on separate VLANs to allow proper 802.1Q tagging and prioritization.,Layer 2,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
